generacja 407, waga 996, wartosc 6759, ocena 10142.5:
generacja 408, waga 961, wartosc 6809, ocena 10252.5:
generacja 409, waga 972, wartosc 6719, ocena 10106.5:
generacja 410, waga 978, wartosc 6745, ocena 10139.5:
generacja 411, waga 992, wartosc 6767, ocena 10158.5:
generacja 412, waga 994, wartosc 6786, ocena 10185:
generacja 413, waga 994, wartosc 6786, ocena 10185:
generacja 414, waga 987, wartosc 6788, ocena 10195:
generacja 415, waga 969, wartosc 6722, ocena 10114:
generacja 416, waga 996, wartosc 6714, ocena 10075:
generacja 417, waga 963, wartosc 6691, ocena 10073.5:
generacja 418, waga 987, wartosc 6786, ocena 10192:
generacja 419, waga 982, wartosc 6755, ocena 10150.5:
generacja 420, waga 991, wartosc 6815, ocena 10231.5:
generacja 421, waga 970, wartosc 6732, ocena 10128:
generacja 422, waga 972, wartosc 6735, ocena 10130.5:
generacja 423, waga 943, wartosc 6670, ocena 10062:
generacja 424, waga 998, wartosc 6747, ocena 10122.5:
generacja 425, waga 990, wartosc 6776, ocena 10174:
generacja 426, waga 983, wartosc 6748, ocena 10139:
generacja 427, waga 965, wartosc 6788, ocena 10217:
generacja 428, waga 963, wartosc 6747, ocena 10157.5:
generacja 429, waga 997, wartosc 6815, ocena 10225.5:
generacja 430, waga 966, wartosc 6762, ocena 10177:
generacja 431, waga 939, wartosc 6789, ocena 10244.5:
generacja 432, waga 974, wartosc 6786, ocena 10205:
generacja 433, waga 993, wartosc 6764, ocena 10153:
generacja 434, waga 988, wartosc 6768, ocena 10164:
generacja 435, waga 985, wartosc 6852, ocena 10293:
generacja 436, waga 999, wartosc 6811, ocena 10217.5:
generacja 437, waga 961, wartosc 6716, ocena 10113:
generacja 438, waga 939, wartosc 6760, ocena 10201:
generacja 439, waga 942, wartosc 6741, ocena 10169.5:
generacja 440, waga 997, wartosc 6792, ocena 10191:
generacja 441, waga 997, wartosc 6786, ocena 10182:
generacja 442, waga 965, wartosc 6783, ocena 10209.5:
generacja 443, waga 989, wartosc 6859, ocena 10299.5:
generacja 444, waga 985, wartosc 6770, ocena 10170:
generacja 445, waga 962, wartosc 6798, ocena 10235:
generacja 446, waga 935, wartosc 6820, ocena 10295:
generacja 447, waga 935, wartosc 6820, ocena 10295:
generacja 448, waga 942, wartosc 6879, ocena 10376.5:
generacja 449, waga 948, wartosc 6732, ocena 10150:
generacja 450, waga 990, wartosc 6791, ocena 10196.5:
generacja 451, waga 945, wartosc 6774, ocena 10216:
generacja 452, waga 980, wartosc 6833, ocena 10269.5:
generacja 453, waga 987, wartosc 6892, ocena 10351:
generacja 454, waga 975, wartosc 6734, ocena 10126:
generacja 455, waga 982, wartosc 6785, ocena 10195.5:
generacja 456, waga 990, wartosc 6896, ocena 10354:
generacja 457, waga 999, wartosc 6770, ocena 10156:
generacja 458, waga 982, wartosc 6871, ocena 10324.5:
generacja 459, waga 989, wartosc 6823, ocena 10245.5:
generacja 460, waga 972, wartosc 6870, ocena 10333:
generacja 461, waga 982, wartosc 6924, ocena 10404:
generacja 462, waga 948, wartosc 6781, ocena 10223.5:
generacja 463, waga 978, wartosc 6851, ocena 10298.5:
generacja 464, waga 959, wartosc 6783, ocena 10215.5:
generacja 465, waga 952, wartosc 6807, ocena 10258.5:
generacja 466, waga 976, wartosc 6859, ocena 10312.5:
generacja 467, waga 979, wartosc 6899, ocena 10369.5:
generacja 468, waga 990, wartosc 6941, ocena 10421.5:
generacja 469, waga 990, wartosc 6941, ocena 10421.5:
generacja 470, waga 975, wartosc 6903, ocena 10379.5:
generacja 471, waga 964, wartosc 6903, ocena 10390.5:
generacja 472, waga 981, wartosc 6838, ocena 10276:
generacja 473, waga 934, wartosc 6764, ocena 10212:
generacja 474, waga 986, wartosc 6870, ocena 10319:
generacja 475, waga 991, wartosc 6866, ocena 10308:
generacja 476, waga 983, wartosc 6901, ocena 10368.5:
generacja 477, waga 967, wartosc 6832, ocena 10281:
generacja 478, waga 963, wartosc 6972, ocena 10495:
generacja 479, waga 951, wartosc 6893, ocena 10388.5:
generacja 480, waga 973, wartosc 6956, ocena 10461:
generacja 481, waga 952, wartosc 6893, ocena 10387.5:
generacja 482, waga 996, wartosc 6858, ocena 10291:
generacja 483, waga 949, wartosc 6823, ocena 10285.5:
generacja 484, waga 981, wartosc 6849, ocena 10292.5:
generacja 485, waga 919, wartosc 6808, ocena 10293:
generacja 486, waga 980, wartosc 6843, ocena 10284.5:
generacja 487, waga 991, wartosc 6886, ocena 10338:
generacja 488, waga 978, wartosc 6844, ocena 10288:
generacja 489, waga 965, wartosc 6972, ocena 10493:
generacja 490, waga 984, wartosc 7004, ocena 10522:
generacja 491, waga 975, wartosc 6972, ocena 10483:
generacja 492, waga 964, wartosc 6918, ocena 10413:
generacja 493, waga 988, wartosc 6860, ocena 10302:
generacja 494, waga 928, wartosc 6846, ocena 10341:
generacja 495, waga 937, wartosc 6900, ocena 10413:
generacja 496, waga 931, wartosc 6887, ocena 10399.5:
generacja 497, waga 951, wartosc 6890, ocena 10384:
generacja 498, waga 985, wartosc 6878, ocena 10332:
generacja 499, waga 963, wartosc 6826, ocena 10276:
